Customer_subtype,Number_of_houses,Avg_size_household,Avg_age,Customer_main_type,Avg_Salary,label
Village families,1,2,50-60 years,Family with grown ups,49575,0
Large religious families,1,2,60-70 years,Conservative families,33516,0
Mixed seniors,1,3,40-50 years,Retired and Religious,28685,0
"Young, low educated",1,2,40-50 years,Living well,43708,0
Mixed seniors,1,3,40-50 years,Successful hedonists,23067,0
Lower class large families,1,4,30-40 years,Family with grown ups,37298,0
Large religious families,2,5,40-50 years,Conservative families,38254,0
"Large family, employed child",1,3,30-40 years,Family with grown ups,33055,0
Low income catholics,1,2,40-50 years,Retired and Religious,11444,0
"Young, low educated",1,2,30-40 years,Living well,45201,0
Lower class large families,1,2,50-60 years,Family with grown ups,47414,1
Career and childcare,1,3,40-50 years,Driven Growers,18846,0
Very Important Provincials,1,3,40-50 years,Successful hedonists,38213,0
Young and rising,1,2,40-50 years,Living well,11064,0
Large religious families,1,3,40-50 years,Conservative families,15849,0
Stable family,1,3,40-50 years,Average Family,21151,0
Lower class large families,1,2,50-60 years,Family with grown ups,12845,0
Young and rising,1,1,30-40 years,Living well,32653,0
Lower class large families,1,3,50-60 years,Family with grown ups,8317,0
Lower class large families,1,3,30-40 years,Family with grown ups,30770,0
Large family farms,1,3,30-40 years,Farmers,49965,0
Family starters,1,2,40-50 years,Average Family,47079,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,38219,0
Mixed apartment dwellers,1,2,30-40 years,Living well,49621,0
Couples with teens 'Married with children',1,4,40-50 years,Family with grown ups,15626,0
Middle class families,1,3,30-40 years,Driven Growers,24260,0
Religious elderly singles,1,2,40-50 years,Retired and Religious,23548,0
Middle class families,1,2,40-50 years,Driven Growers,29981,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,26261,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,30798,0
Mixed seniors,1,1,50-60 years,Retired and Religious,32683,0
Young all american family,1,3,30-40 years,Average Family,39451,0
Lower class large families,2,2,40-50 years,Family with grown ups,40006,0
High status seniors,1,2,50-60 years,Successful hedonists,41192397,1
"High Income, expensive child",1,3,40-50 years,Successful hedonists,4963657,0
Low income catholics,1,2,40-50 years,Retired and Religious,36823,0
Traditional families,2,3,30-40 years,Conservative families,21101,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,29795289,0
Dinki's (double income no kids),1,3,30-40 years,Driven Growers,28641,0
Traditional families,1,3,40-50 years,Conservative families,21468,0
Mixed seniors,1,2,50-60 years,Successful hedonists,30896,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,17380,0
Traditional families,1,4,30-40 years,Conservative families,16784,0
Traditional families,1,3,40-50 years,Conservative families,46514,0
Traditional families,1,3,40-50 years,Conservative families,41373,0
Traditional families,1,4,30-40 years,Conservative families,16937,0
Large family farms,1,2,50-60 years,Farmers,34450,0
Seniors in apartments,2,2,50-60 years,Cruising Seniors,33658,0
Lower class large families,1,2,50-60 years,Family with grown ups,34678,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,35965377,0
Lower class large families,1,3,40-50 years,Family with grown ups,38662,0
High status seniors,1,2,50-60 years,Successful hedonists,18048317,0
Lower class large families,1,2,50-60 years,Family with grown ups,30446,0
Large family farms,1,5,40-50 years,Farmers,39720,0
Own home elderly,1,1,60-70 years,Cruising Seniors,15082,1
Stable family,1,4,30-40 years,Average Family,28359,0
Traditional families,1,2,30-40 years,Conservative families,21739,0
Large religious families,2,3,40-50 years,Conservative families,35417,0
"Modern, complete families",1,4,30-40 years,Average Family,26459,1
Lower class large families,1,4,30-40 years,Family with grown ups,8235,0
Lower class large families,1,3,40-50 years,Family with grown ups,1750,0
Large religious families,1,3,30-40 years,Conservative families,22865,0
Young and rising,1,2,30-40 years,Living well,43051,0
Large religious families,1,2,40-50 years,Conservative families,27472,0
Religious elderly singles,1,1,60-70 years,Retired and Religious,29644,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,10523258,0
Village families,1,3,40-50 years,Family with grown ups,26518,0
Mixed apartment dwellers,1,3,30-40 years,Living well,40718,0
Stable family,1,4,30-40 years,Average Family,26911,0
Lower class large families,1,3,30-40 years,Family with grown ups,31210,0
Family starters,1,3,30-40 years,Average Family,48830,0
Young seniors in the city,1,1,50-60 years,Cruising Seniors,10444,0
Mixed rurals,1,3,40-50 years,Farmers,21376,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,14213,0
Large religious families,2,3,40-50 years,Conservative families,21570,0
Traditional families,1,2,50-60 years,Conservative families,25675,0
Own home elderly,2,1,60-70 years,Cruising Seniors,19039,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,38500,0
Large religious families,1,3,30-40 years,Conservative families,42565,0
Lower class large families,1,2,40-50 years,Family with grown ups,29944,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,25495136,0
Middle class families,2,3,40-50 years,Driven Growers,47203,0
Lower class large families,1,4,30-40 years,Family with grown ups,30106,1
Lower class large families,1,3,40-50 years,Family with grown ups,33719,0
Very Important Provincials,1,4,30-40 years,Successful hedonists,39622,0
Lower class large families,1,4,40-50 years,Family with grown ups,12955,0
High status seniors,1,2,50-60 years,Successful hedonists,30917159,0
Lower class large families,1,2,50-60 years,Family with grown ups,45587,0
"Modern, complete families",2,3,30-40 years,Average Family,18646,0
Lower class large families,1,3,40-50 years,Family with grown ups,28210,0
Mixed rurals,1,3,40-50 years,Farmers,29902,0
Stable family,1,3,50-60 years,Average Family,17373,0
Village families,1,4,40-50 years,Family with grown ups,23539,0
Porchless seniors: no front yard,1,2,50-60 years,Retired and Religious,37964,0
Mixed small town dwellers,1,3,30-40 years,Family with grown ups,12771,0
High status seniors,1,2,50-60 years,Successful hedonists,45170899,0
Career and childcare,1,3,30-40 years,Driven Growers,24410,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,16121,0
Stable family,1,3,40-50 years,Average Family,18455,0
Young and rising,1,2,30-40 years,Living well,23822,0
Affluent young families,1,4,30-40 years,Average Family,728966,0
High status seniors,1,2,50-60 years,Successful hedonists,29939343,0
Lower class large families,1,4,40-50 years,Family with grown ups,47428,0
Lower class large families,1,3,40-50 years,Family with grown ups,46514,0
Low income catholics,1,2,40-50 years,Retired and Religious,2985,0
Large religious families,1,2,50-60 years,Conservative families,10390,0
Stable family,1,3,30-40 years,Average Family,16703,0
Family starters,1,3,40-50 years,Average Family,43528,0
"High Income, expensive child",1,3,30-40 years,Successful hedonists,45952441,0
Porchless seniors: no front yard,1,2,60-70 years,Retired and Religious,39475,0
Young all american family,1,3,30-40 years,Average Family,44133,0
"Modern, complete families",1,4,40-50 years,Average Family,33823,0
Lower class large families,1,3,40-50 years,Family with grown ups,44705,0
Village families,1,2,50-60 years,Family with grown ups,18956,1
Middle class families,1,4,40-50 years,Driven Growers,46509,0
Mixed rurals,1,3,40-50 years,Farmers,11628,0
Mixed seniors,1,3,40-50 years,Retired and Religious,21911,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,41064,0
Middle class families,1,3,40-50 years,Driven Growers,41207,0
Middle class families,1,3,40-50 years,Driven Growers,16294,0
"Young, low educated",1,2,30-40 years,Living well,38151,0
"Large family, employed child",1,2,40-50 years,Family with grown ups,39645,0
Low income catholics,1,3,50-60 years,Retired and Religious,4173,0
Large religious families,1,3,30-40 years,Conservative families,17170,0
Lower class large families,1,3,40-50 years,Family with grown ups,49337,0
Village families,1,2,40-50 years,Family with grown ups,42070,0
Porchless seniors: no front yard,1,2,40-50 years,Retired and Religious,38326,0
Dinki's (double income no kids),1,3,40-50 years,Driven Growers,10625,1
Career and childcare,1,3,30-40 years,Driven Growers,37699,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,32082061,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,18543,0
Village families,1,3,40-50 years,Family with grown ups,34521,0
Lower class large families,1,3,40-50 years,Family with grown ups,30738,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,47839,0
Middle class families,1,3,30-40 years,Driven Growers,46905,1
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,25479,0
Middle class families,1,3,40-50 years,Driven Growers,32485,0
Middle class families,2,3,40-50 years,Driven Growers,32717,0
Mixed small town dwellers,1,2,30-40 years,Family with grown ups,10585,0
Young all american family,2,3,30-40 years,Average Family,40218,0
Traditional families,1,4,30-40 years,Conservative families,22760,0
Large religious families,1,2,60-70 years,Conservative families,44963,0
Low income catholics,1,2,50-60 years,Retired and Religious,4289,0
Young all american family,1,3,50-60 years,Average Family,12964,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,23513,0
Lower class large families,1,2,40-50 years,Family with grown ups,6360,0
Own home elderly,1,1,60-70 years,Cruising Seniors,13323,0
Family starters,1,2,40-50 years,Average Family,19793,0
Middle class families,1,2,50-60 years,Driven Growers,42885,0
Porchless seniors: no front yard,1,2,50-60 years,Retired and Religious,21306,0
Village families,2,5,40-50 years,Family with grown ups,14608,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,46094,0
Students in apartments,1,2,30-40 years,Career Loners,45469,0
Young and rising,1,1,30-40 years,Living well,41565,0
Young and rising,1,1,40-50 years,Living well,48631,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,17608,1
Large religious families,1,3,40-50 years,Conservative families,40594,0
Low income catholics,1,2,40-50 years,Retired and Religious,16471,0
Large religious families,1,2,50-60 years,Conservative families,47010,0
Lower class large families,1,2,50-60 years,Family with grown ups,21222,0
Mixed rurals,1,3,40-50 years,Farmers,33598,0
"Large family, employed child",1,4,40-50 years,Family with grown ups,45309,0
High status seniors,1,3,40-50 years,Successful hedonists,23133777,0
Middle class families,1,3,40-50 years,Driven Growers,25805,0
Traditional families,1,3,40-50 years,Conservative families,27341,0
Young and rising,1,2,30-40 years,Living well,22321,0
Lower class large families,1,2,40-50 years,Family with grown ups,18252,0
"Modern, complete families",1,4,30-40 years,Average Family,16821,0
"Young, low educated",2,2,40-50 years,Living well,49463,0
"Modern, complete families",1,4,30-40 years,Average Family,39204,0
Lower class large families,1,3,50-60 years,Family with grown ups,13077,0
"Modern, complete families",1,4,40-50 years,Average Family,42729,1
Dinki's (double income no kids),1,3,40-50 years,Driven Growers,12162,0
High status seniors,1,3,50-60 years,Successful hedonists,15597355,0
Mixed seniors,1,2,50-60 years,Retired and Religious,17429,0
Young all american family,2,4,40-50 years,Average Family,47028,0
Religious elderly singles,1,2,40-50 years,Retired and Religious,40218,0
High status seniors,1,2,40-50 years,Successful hedonists,36612965,1
"Large family, employed child",1,3,40-50 years,Family with grown ups,11921,0
Porchless seniors: no front yard,1,2,30-40 years,Retired and Religious,37135,0
Mixed seniors,1,3,40-50 years,Retired and Religious,49540,0
Very Important Provincials,1,4,30-40 years,Successful hedonists,23497,0
"Large family, employed child",1,3,30-40 years,Family with grown ups,25026,0
Large religious families,1,4,30-40 years,Conservative families,19119,0
"Modern, complete families",1,3,30-40 years,Average Family,38437,0
Mixed seniors,1,3,40-50 years,Retired and Religious,23976,0
Couples with teens 'Married with children',1,4,40-50 years,Family with grown ups,28782,0
Affluent young families,1,3,30-40 years,Average Family,458479,0
Mixed seniors,1,3,40-50 years,Retired and Religious,38551,0
Dinki's (double income no kids),2,3,30-40 years,Driven Growers,21201,0
Young and rising,1,2,30-40 years,Living well,11481,0
Traditional families,1,3,50-60 years,Conservative families,19214,0
Lower class large families,1,2,50-60 years,Family with grown ups,49899,0
Young and rising,1,1,50-60 years,Living well,30022,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,29320,1
Mixed seniors,1,2,40-50 years,Retired and Religious,37169,1
Traditional families,1,2,50-60 years,Conservative families,35997,0
Young all american family,1,3,30-40 years,Average Family,23988,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,20783,0
Middle class families,1,3,40-50 years,Driven Growers,33384,0
Large family farms,1,2,50-60 years,Farmers,36629,0
Young and rising,1,2,30-40 years,Living well,45718,0
Large family farms,1,3,40-50 years,Farmers,39962,0
Low income catholics,1,2,40-50 years,Retired and Religious,6017,0
Young and rising,1,1,30-40 years,Living well,44852,0
Lower class large families,1,2,40-50 years,Family with grown ups,30639,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,38367,0
Large religious families,1,2,50-60 years,Conservative families,36464,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,23297,0
Lower class large families,2,3,40-50 years,Family with grown ups,21094,0
Traditional families,1,3,50-60 years,Conservative families,45969,0
Own home elderly,1,2,50-60 years,Cruising Seniors,17229,0
"Modern, complete families",1,4,40-50 years,Average Family,34296,0
Mixed apartment dwellers,1,2,40-50 years,Living well,32938,0
Mixed rurals,1,2,50-60 years,Farmers,27681,0
Lower class large families,1,3,40-50 years,Family with grown ups,29046,0
Middle class families,1,3,40-50 years,Driven Growers,17189,0
Village families,1,3,40-50 years,Family with grown ups,38575,0
Large religious families,1,3,30-40 years,Conservative families,18271,0
Family starters,1,3,40-50 years,Average Family,42471,0
Stable family,2,4,40-50 years,Average Family,48224,0
Traditional families,1,3,40-50 years,Conservative families,19889,0
Fresh masters in the city,1,2,50-60 years,Career Loners,42044,0
Couples with teens 'Married with children',1,2,60-70 years,Family with grown ups,34096,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,16567,0
Lower class large families,1,2,40-50 years,Family with grown ups,2655,0
Low income catholics,1,2,60-70 years,Retired and Religious,21637,0
Lower class large families,1,3,40-50 years,Family with grown ups,6083,0
Stable family,1,4,40-50 years,Average Family,21243,0
Large religious families,1,2,40-50 years,Conservative families,28051,0
Young and rising,2,1,20-30 years,Living well,21845,0
Low income catholics,1,3,40-50 years,Retired and Religious,42871,0
Stable family,1,3,40-50 years,Average Family,42267,0
Lower class large families,1,2,40-50 years,Family with grown ups,45638,0
"Young, low educated",2,2,30-40 years,Living well,37493,0
Traditional families,1,4,30-40 years,Conservative families,33000,0
Large religious families,1,3,40-50 years,Conservative families,23585,0
Lower class large families,1,2,50-60 years,Family with grown ups,21624,0
Middle class families,1,4,40-50 years,Driven Growers,35692,0
Career and childcare,1,3,40-50 years,Driven Growers,11243,0
Lower class large families,1,3,40-50 years,Family with grown ups,41349,0
Stable family,2,3,30-40 years,Average Family,32478,0
Lower class large families,1,2,40-50 years,Family with grown ups,7759,0
Affluent young families,1,3,30-40 years,Average Family,991838,0
Young and rising,1,2,40-50 years,Living well,20122,0
Middle class families,2,4,40-50 years,Driven Growers,33996,0
Lower class large families,1,3,40-50 years,Family with grown ups,12712,0
"Young, low educated",1,2,40-50 years,Living well,44234,0
Middle class families,1,3,40-50 years,Driven Growers,25149,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,31631,0
Traditional families,1,2,50-60 years,Conservative families,31070,1
Large religious families,1,2,30-40 years,Conservative families,30476,0
Lower class large families,1,3,30-40 years,Family with grown ups,25803,0
Very Important Provincials,1,3,40-50 years,Successful hedonists,45805,0
Large religious families,1,2,50-60 years,Conservative families,29213,0
"Modern, complete families",1,2,40-50 years,Average Family,14130,0
Lower class large families,1,4,30-40 years,Family with grown ups,19262,0
Young all american family,1,3,40-50 years,Average Family,38916,0
Middle class families,1,4,40-50 years,Driven Growers,22291,1
Lower class large families,1,3,40-50 years,Family with grown ups,30240,0
Traditional families,1,3,40-50 years,Conservative families,39899,0
Middle class families,1,2,30-40 years,Driven Growers,29023,0
"High Income, expensive child",1,3,50-60 years,Successful hedonists,44843830,0
Lower class large families,2,3,40-50 years,Family with grown ups,6150,0
"Modern, complete families",1,4,40-50 years,Average Family,46947,0
Affluent young families,1,4,30-40 years,Average Family,508647,0
Mixed rurals,1,3,40-50 years,Farmers,34523,0
Family starters,1,3,30-40 years,Average Family,16082,0
Village families,1,4,40-50 years,Family with grown ups,15693,0
Young seniors in the city,1,2,50-60 years,Cruising Seniors,41297,1
Village families,1,4,50-60 years,Family with grown ups,23774,0
High status seniors,1,2,50-60 years,Successful hedonists,43230349,0
"Large family, employed child",1,2,40-50 years,Family with grown ups,39289,0
Lower class large families,1,2,40-50 years,Family with grown ups,40519,0
Mixed rurals,1,3,40-50 years,Farmers,23986,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,45286,0
Porchless seniors: no front yard,1,2,20-30 years,Retired and Religious,11194,0
Traditional families,1,2,20-30 years,Conservative families,21577,0
"Modern, complete families",1,3,40-50 years,Average Family,46193,0
Family starters,1,2,40-50 years,Average Family,46294,0
Lower class large families,1,3,50-60 years,Family with grown ups,28454,0
Traditional families,1,3,50-60 years,Conservative families,47233,0
Mixed seniors,1,2,40-50 years,Successful hedonists,33928,0
Porchless seniors: no front yard,1,1,60-70 years,Retired and Religious,28053,0
Family starters,1,2,40-50 years,Average Family,21533,0
High status seniors,1,3,50-60 years,Successful hedonists,22305248,0
Very Important Provincials,1,2,50-60 years,Successful hedonists,43074,0
Very Important Provincials,1,3,50-60 years,Successful hedonists,26363,0
Large family farms,1,3,40-50 years,Farmers,32831,0
High status seniors,1,3,40-50 years,Successful hedonists,24576345,0
"Young, low educated",1,2,30-40 years,Living well,45777,0
Lower class large families,1,3,40-50 years,Family with grown ups,18891,0
Family starters,1,3,50-60 years,Average Family,14363,0
Religious elderly singles,1,1,70-80 years,Retired and Religious,49059,0
Lower class large families,1,4,30-40 years,Family with grown ups,47804,0
Young seniors in the city,1,2,60-70 years,Cruising Seniors,20444,0
Porchless seniors: no front yard,1,2,40-50 years,Retired and Religious,18439,0
Seniors in apartments,1,2,50-60 years,Cruising Seniors,31527,0
Lower class large families,1,2,40-50 years,Family with grown ups,17521,0
Lower class large families,1,3,40-50 years,Family with grown ups,26103,1
"Young, low educated",1,2,30-40 years,Living well,33311,0
Lower class large families,1,3,40-50 years,Family with grown ups,11313,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,17760,0
"Young, low educated",1,2,20-30 years,Living well,45073,0
Dinki's (double income no kids),2,1,60-70 years,Driven Growers,48812,0
Village families,1,4,40-50 years,Family with grown ups,40394,0
Large religious families,1,3,40-50 years,Conservative families,28329,0
"Modern, complete families",2,3,30-40 years,Average Family,38949,0
Very Important Provincials,1,2,50-60 years,Successful hedonists,15314,1
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,41444,0
Mixed seniors,1,3,30-40 years,Retired and Religious,47883,0
"Modern, complete families",1,3,40-50 years,Average Family,35887,0
Family starters,1,3,30-40 years,Average Family,14164,0
Young and rising,1,2,40-50 years,Living well,22855,0
Young and rising,1,1,20-30 years,Living well,23374,0
Young and rising,1,1,20-30 years,Living well,31551,0
Low income catholics,1,2,40-50 years,Retired and Religious,12264,0
Couples with teens 'Married with children',1,3,30-40 years,Family with grown ups,18128,0
Lower class large families,1,3,40-50 years,Family with grown ups,47825,0
Couples with teens 'Married with children',1,4,40-50 years,Family with grown ups,25304,0
Lower class large families,2,4,30-40 years,Family with grown ups,43859,0
Stable family,1,3,30-40 years,Average Family,43323,1
High status seniors,1,2,50-60 years,Successful hedonists,11052721,1
Village families,1,3,40-50 years,Family with grown ups,44223,0
Dinki's (double income no kids),2,3,30-40 years,Driven Growers,14953,0
Large religious families,1,4,40-50 years,Conservative families,19949,0
Mixed rurals,1,2,40-50 years,Farmers,13693,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,48177970,0
Lower class large families,2,3,40-50 years,Family with grown ups,4437,0
Lower class large families,1,3,40-50 years,Family with grown ups,41728,0
Residential elderly,2,1,60-70 years,Cruising Seniors,14801,0
"Modern, complete families",1,3,40-50 years,Average Family,35001,0
"Modern, complete families",1,2,40-50 years,Average Family,45785,0
Lower class large families,1,3,40-50 years,Family with grown ups,17723,0
Lower class large families,1,2,50-60 years,Family with grown ups,14220,0
Village families,1,3,50-60 years,Family with grown ups,44801,0
Couples with teens 'Married with children',1,1,50-60 years,Family with grown ups,31475,0
Lower class large families,2,2,40-50 years,Family with grown ups,36099,0
Young and rising,2,1,20-30 years,Living well,29981,0
Traditional families,1,3,30-40 years,Conservative families,23558,0
Single youth,1,1,30-40 years,Career Loners,23019,0
Porchless seniors: no front yard,1,4,40-50 years,Retired and Religious,39367,0
Lower class large families,1,3,50-60 years,Family with grown ups,41925,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,13399,0
Large religious families,1,2,60-70 years,Conservative families,49268,0
Mixed seniors,1,3,40-50 years,Retired and Religious,46202,0
Middle class families,1,3,40-50 years,Driven Growers,12580,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,39930,0
Traditional families,1,3,30-40 years,Conservative families,42342,0
Lower class large families,1,3,40-50 years,Family with grown ups,13047,0
Young all american family,1,2,40-50 years,Average Family,42120,0
Large religious families,1,2,50-60 years,Conservative families,31421,0
Seniors in apartments,2,2,50-60 years,Cruising Seniors,24031,0
Lower class large families,1,2,40-50 years,Family with grown ups,16928,0
Middle class families,1,2,40-50 years,Driven Growers,45922,1
Large religious families,1,3,40-50 years,Conservative families,30745,0
Traditional families,2,3,50-60 years,Conservative families,18824,0
Seniors in apartments,2,2,60-70 years,Cruising Seniors,16116,0
Mixed apartment dwellers,2,3,30-40 years,Living well,11126,0
Village families,1,4,40-50 years,Family with grown ups,42265,0
Affluent young families,2,3,30-40 years,Average Family,450353,0
Mixed rurals,1,4,40-50 years,Farmers,43957,0
Lower class large families,1,2,50-60 years,Family with grown ups,12894,0
Mixed seniors,1,3,40-50 years,Retired and Religious,46674,0
Mixed seniors,1,2,40-50 years,Retired and Religious,33362,0
Village families,1,2,50-60 years,Family with grown ups,31604,0
"Modern, complete families",1,3,40-50 years,Average Family,46694,0
Own home elderly,1,1,70-80 years,Cruising Seniors,23340,0
"High Income, expensive child",1,2,60-70 years,Successful hedonists,14985291,1
Middle class families,1,4,40-50 years,Driven Growers,28759,0
Stable family,1,3,30-40 years,Average Family,25650,0
Lower class large families,1,3,40-50 years,Family with grown ups,29065,0
Affluent young families,2,4,30-40 years,Average Family,861800,1
Middle class families,1,4,40-50 years,Driven Growers,33152,0
Lower class large families,1,4,40-50 years,Family with grown ups,11432,0
Traditional families,1,2,50-60 years,Conservative families,14235,0
Traditional families,1,2,30-40 years,Conservative families,17031,0
"Modern, complete families",1,4,30-40 years,Average Family,37020,0
Family starters,1,2,40-50 years,Average Family,42266,0
Mixed seniors,2,2,50-60 years,Retired and Religious,13923,0
Lower class large families,1,3,40-50 years,Family with grown ups,6705,0
High status seniors,1,5,40-50 years,Successful hedonists,5985741,1
Lower class large families,1,2,30-40 years,Family with grown ups,44599,0
Mixed seniors,1,2,40-50 years,Retired and Religious,10743,0
Religious elderly singles,1,4,40-50 years,Retired and Religious,41498,0
"Young, low educated",1,2,40-50 years,Living well,42056,0
High status seniors,1,2,60-70 years,Successful hedonists,2606407,0
Lower class large families,1,3,40-50 years,Family with grown ups,4042,0
Village families,1,3,40-50 years,Family with grown ups,14609,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,49564,0
Low income catholics,1,2,50-60 years,Retired and Religious,10446,0
Mixed rurals,1,3,40-50 years,Farmers,20688,0
Traditional families,1,3,40-50 years,Conservative families,39694,0
Low income catholics,1,2,50-60 years,Retired and Religious,8809,1
Middle class families,1,3,50-60 years,Driven Growers,19576,0
Lower class large families,1,2,40-50 years,Family with grown ups,4071,0
Mixed rurals,1,3,40-50 years,Farmers,19239,0
"Modern, complete families",1,3,40-50 years,Average Family,47833,0
Lower class large families,1,3,40-50 years,Family with grown ups,23961,0
Lower class large families,2,3,40-50 years,Family with grown ups,48145,0
High status seniors,1,2,40-50 years,Successful hedonists,40564335,0
Mixed seniors,1,3,40-50 years,Successful hedonists,15962,0
Low income catholics,1,3,30-40 years,Retired and Religious,24055,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,45864609,1
"Young, low educated",1,2,30-40 years,Living well,37645,0
Stable family,1,4,30-40 years,Average Family,22959,0
Stable family,1,3,40-50 years,Average Family,38472,0
Large religious families,1,2,40-50 years,Conservative families,11421,0
Large religious families,1,3,40-50 years,Conservative families,11493,0
Mixed rurals,1,3,40-50 years,Farmers,46482,0
Large religious families,1,2,50-60 years,Conservative families,12753,0
Middle class families,1,4,40-50 years,Driven Growers,18436,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,47164,0
Lower class large families,1,2,50-60 years,Family with grown ups,21426,0
Lower class large families,1,3,40-50 years,Family with grown ups,49039,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,21354,0
Middle class families,1,3,30-40 years,Driven Growers,41254,0
Lower class large families,1,3,30-40 years,Family with grown ups,4554,1
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,22322,0
Village families,1,3,40-50 years,Family with grown ups,30991,0
Students in apartments,1,1,20-30 years,Career Loners,32926,0
Lower class large families,2,3,40-50 years,Family with grown ups,11942,0
Middle class families,1,3,30-40 years,Driven Growers,38694,1
Mixed seniors,1,3,40-50 years,Retired and Religious,26055,0
"Large family, employed child",2,3,30-40 years,Family with grown ups,32748,0
"Large family, employed child",1,4,30-40 years,Family with grown ups,43418,0
Young and rising,2,2,30-40 years,Living well,41940,0
Career and childcare,2,3,40-50 years,Driven Growers,19248,0
Low income catholics,1,3,30-40 years,Retired and Religious,2529,0
Middle class families,1,3,40-50 years,Driven Growers,49085,0
Young all american family,1,2,30-40 years,Average Family,19401,0
Stable family,1,4,40-50 years,Average Family,21788,0
Traditional families,1,3,40-50 years,Conservative families,42107,0
Traditional families,1,3,30-40 years,Conservative families,21991,0
Traditional families,1,2,30-40 years,Conservative families,17872,0
Family starters,1,2,40-50 years,Average Family,28083,0
Porchless seniors: no front yard,1,2,50-60 years,Retired and Religious,16250,0
Young and rising,1,2,30-40 years,Living well,28882,0
Religious elderly singles,2,2,50-60 years,Retired and Religious,29391,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,49211,1
Middle class families,1,3,30-40 years,Driven Growers,39773,1
"Young, low educated",1,3,30-40 years,Living well,12354,0
Middle class families,1,3,40-50 years,Driven Growers,19631,0
"Large family, employed child",1,2,40-50 years,Family with grown ups,37049,0
Stable family,1,3,40-50 years,Average Family,32417,0
Middle class families,1,3,40-50 years,Driven Growers,23378,0
Mixed apartment dwellers,1,2,50-60 years,Living well,40036,1
Large religious families,2,5,30-40 years,Conservative families,25237,0
Very Important Provincials,1,3,50-60 years,Successful hedonists,45009,0
Mixed apartment dwellers,1,2,30-40 years,Living well,44436,0
Lower class large families,1,3,40-50 years,Family with grown ups,32833,0
Family starters,2,2,60-70 years,Average Family,11418,0
Lower class large families,1,3,40-50 years,Family with grown ups,41849,0
Lower class large families,1,3,40-50 years,Family with grown ups,18894,0
Middle class families,1,3,40-50 years,Driven Growers,48451,0
Stable family,1,3,30-40 years,Average Family,35445,0
Affluent young families,1,3,30-40 years,Average Family,525884,1
Traditional families,1,3,40-50 years,Conservative families,18670,0
"Large family, employed child",1,4,30-40 years,Family with grown ups,45176,0
Young all american family,1,3,30-40 years,Average Family,33551,0
Lower class large families,1,3,40-50 years,Family with grown ups,34800,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,23480,0
Traditional families,1,4,30-40 years,Conservative families,13793,0
"Young, low educated",1,2,30-40 years,Living well,36915,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,13342,1
Mixed apartment dwellers,2,3,30-40 years,Living well,27530,0
Large religious families,2,5,40-50 years,Conservative families,30844,0
Large family farms,1,3,40-50 years,Farmers,13343,0
Lower class large families,1,3,40-50 years,Family with grown ups,8249,0
Young urban have-nots,1,2,30-40 years,Living well,26788,0
High status seniors,1,2,50-60 years,Successful hedonists,21241500,0
Family starters,2,2,60-70 years,Average Family,26154,0
Lower class large families,1,2,40-50 years,Family with grown ups,22619,0
Low income catholics,1,2,50-60 years,Retired and Religious,17176,0
Large religious families,1,4,30-40 years,Conservative families,17022,0
Etnically diverse,1,2,30-40 years,Living well,14746,0
